,storeNumber,city,totalSalesDollars,avgSalesDollars,countyNumber,avgPrice(L),zipCode,totalVolSold(L),avgVolSold(L),avgMargin,totalSalesQ1,avgSalesQ1
931,4718,WEST DES MOINES,5152.86,190.846666667,77.0,15.7647266314,50266,391.5,14.5,4.96592592593,1449.48,181.185
932,4719,WEST DES MOINES,4179.72,149.275714286,77.0,15.5719727891,50265,279.0,9.96428571429,5.19142857143,1317.0,146.333333333
933,4720,CHARITON,4291.02,165.039230769,59.0,16.9467948718,50049,259.5,9.98076923077,4.85653846154,753.12,188.28
934,4721,BURLINGTON,3151.2,196.95,29.0,18.0372619048,52601,190.5,11.90625,5.48375,696.24,174.06
935,4722,BURLINGTON,4086.72,204.336,29.0,19.9503809524,56201,243.0,12.15,5.6245,570.84,190.28
936,4723,CEDAR FALLS,1405.32,156.146666667,7.0,14.4893121693,50613,105.0,11.6666666667,4.83555555556,327.72,163.86
937,4724,NEWTON,975.9,121.9875,50.0,11.9945238095,50208,88.5,11.0625,4.43875,162.0,162.0
938,4725,ANKENY,8589.38,81.0318867925,77.0,17.0828751123,50023,622.3,5.87075471698,4.58254716981,2220.88,88.8352
939,4726,ANKENY,4833.96,130.647567568,77.0,14.0541570142,50021,363.0,9.81081081081,4.90918918919,786.78,98.3475
940,4727,ANKENY,2875.5,136.928571429,77.0,15.9369614512,50021,202.5,9.64285714286,5.38666666667,791.7,131.95
941,4728,IOWA CITY,2763.77,138.1885,52.0,17.764952381,52240,157.0,7.85,5.526,684.06,136.812
942,4729,DENISON,2237.7,131.629411765,24.0,16.8442296919,51442,154.5,9.08823529412,4.53,2237.7,131.629411765
943,4730,JOHNSTON,3304.86,132.1944,77.0,16.2979047619,50131,225.0,9.0,5.0212,609.78,121.956
944,4731,CLIVE,4532.22,146.200645161,77.0,16.760921659,50325,288.0,9.29032258065,5.49387096774,1326.84,189.548571429
945,4732,CLIVE,3065.4,145.971428571,77.0,15.965260771,50325,207.0,9.85714285714,5.54,162.0,162.0
946,4733,URBANDALE,5596.2,139.905,77.0,13.9730595238,50322,436.2,10.905,4.69925,800.34,114.334285714
947,4734,URBANDALE,8452.14,143.256610169,77.0,13.3708474576,50322,687.0,11.6440677966,4.32118644068,2611.92,145.106666667
948,4735,OTTUMWA,3443.04,172.152,90.0,18.5959047619,52501,213.0,10.65,5.942,433.02,144.34
949,4736,MARION,2301.84,115.092,57.0,14.5001904762,52302,185.25,9.2625,4.104,868.68,217.17
951,4738,COUNCIL BLUFFS,3863.52,133.224827586,78.0,16.7155377668,51501,294.0,10.1379310345,4.31896551724,1416.14,141.614
952,4739,COUNCIL BLUFFS,1815.0,181.5,78.0,19.6299047619,51503,94.5,9.45,5.991,598.56,299.28
953,4740,COUNCIL BLUFFS,3951.24,146.342222222,78.0,15.0474074074,51501,270.0,10.0,4.36333333333,469.68,117.42
954,4741,COUNCIL BLUFFS,5104.86,145.853142857,78.0,15.1088435374,51503,361.5,10.3285714286,4.38942857143,534.3,133.575
955,4742,COUNCIL BLUFFS,11912.01,124.0834375,78.0,13.0601190476,51501,992.85,10.3421875,4.24666666667,4452.48,127.213714286
956,4743,COUNCIL BLUFFS,24399.21,115.090613208,78.0,12.7036837376,51503,2331.09,10.9957075472,4.41735849057,6378.18,118.114444444
957,4744,CEDAR RAPIDS,5265.25,128.420731707,57.0,15.1275493612,52402,419.5,10.2317073171,4.51829268293,1123.5,102.136363636
958,4745,CEDAR RAPIDS,4515.9,161.282142857,57.0,16.7988435374,52404,307.5,10.9821428571,5.06464285714,1016.88,169.48
959,4746,MUSCATINE,2795.22,155.29,70.0,17.060952381,52761,180.0,10.0,5.82,336.6,168.3
960,4747,DAVENPORT,3944.88,146.106666667,82.0,15.352345679,52803,274.5,10.1666666667,4.82888888889,1133.76,161.965714286
961,4748,DAVENPORT,1878.9,134.207142857,82.0,14.9533673469,52807,135.6,9.68571428571,4.29928571429,232.56,116.28
962,4749,DAVENPORT,3620.63,134.097407407,82.0,17.3146208113,52804,231.95,8.59074074074,3.94703703704,1015.44,126.93
963,4750,DAVENPORT,2187.18,145.812,82.0,14.9416084656,52807,157.8,10.52,4.23933333333,161.64,161.64
964,4751,DAVENPORT,1419.9,141.99,82.0,15.139047619,52806,97.5,9.75,5.063,606.9,151.725
965,4752,BURLINGTON,22987.63,170.278740741,29.0,22.4011569665,52655,1210.12,8.96385185185,3.51296296296,4658.28,150.267096774
966,4753,ADAIR,1475.1,113.469230769,1.0,16.4956043956,50002,110.85,8.52692307692,3.29769230769,647.52,107.92
967,4754,WAVERLY,1891.98,210.22,9.0,22.9576719577,50677,84.0,9.33333333333,6.54111111111,531.0,265.5
969,4756,MARSHALLTOWN,1742.1,108.88125,64.0,15.6299479167,50158,151.8,9.4875,4.308125,167.88,83.94
970,4757,BONDURANT,9664.23,30.8761341853,77.0,17.4861068005,50035,677.19,2.16354632588,4.25888178914,1350.09,24.10875
972,4760,WATERLOO,2100.12,150.008571429,7.0,16.1715646259,50701,133.5,9.53571428571,5.05428571429,664.38,132.876
973,4761,WATERLOO,1842.54,167.503636364,7.0,18.060952381,50701,105.0,9.54545454545,5.61818181818,485.04,161.68
974,4762,FORT ATKINSON,10972.11,87.0802380952,96.0,13.1522071051,52144,854.85,6.78452380952,5.04825396825,2347.51,75.7261290323
975,4764,FORT DODGE,23514.75,94.059,94.0,19.8164990476,50501,1468.76,5.87504,4.3704,3496.43,89.6520512821
976,4765,DUBUQUE,2188.43,64.3655882353,31.0,17.796442577,52001,164.98,4.85235294118,3.36529411765,665.21,83.15125
977,4766,DUBUQUE,1442.06,90.12875,31.0,30.2725,52003,50.99,3.186875,5.284375,289.51,72.3775
978,4767,ANKENY,3953.82,53.43,77.0,17.4536679537,50023,306.89,4.14716216216,4.27567567568,982.99,51.7363157895
979,4768,URBANDALE,3180.36,79.509,77.0,16.6483452381,50322,223.2,5.58,4.792,784.5,156.9
980,4769,ELMA,7437.02,185.9255,45.0,16.006452381,50628,542.95,13.57375,6.0115,2360.04,168.574285714
981,4770,HUDSON,4225.74,162.528461538,7.0,15.2569047619,50643,321.0,12.3461538462,5.05769230769,624.6,124.92
982,4771,CEDAR RAPIDS,5812.19,76.4761842105,57.0,20.1718546366,52402,359.23,4.72671052632,3.43052631579,1228.67,68.2594444444
983,4773,WEST DES MOINES,4555.44,24.757826087,77.0,17.751871118,50265,311.45,1.69266304348,4.06804347826,957.94,23.3643902439
984,4774,ESTHERVILLE,3801.87,102.753243243,32.0,15.6568597169,51334,344.5,9.31081081081,2.85135135135,1107.8,110.78
985,4775,DAKOTA CITY,1972.92,116.054117647,46.0,14.1529411765,50529,200.1,11.7705882353,2.58117647059,174.24,87.12
986,4776,CARROLL,376.56,188.28,14.0,9.71333333333,51401,39.0,19.5,3.925,376.56,188.28
987,4777,PAULLINA,3893.47,129.782333333,71.0,13.8714603175,51046,394.7,13.1566666667,3.93,1225.11,136.123333333
989,4779,MOUNT AYR,1670.34,238.62,80.0,18.4016326531,50854,100.5,14.3571428571,4.76857142857,323.28,323.28
990,4780,BRITT,2624.28,131.214,41.0,12.477047619,50423,259.5,12.975,3.9005,353.28,176.64
991,4781,EARLY,2447.58,94.1376923077,81.0,13.9728754579,50535,204.9,7.88076923077,3.53692307692,346.08,115.36
992,4782,LAMONI,2759.88,81.1729411765,27.0,15.5758823529,50140,231.45,6.80735294118,3.45882352941,83.1,41.55
993,4783,EMMETSBURG,4182.0,149.357142857,74.0,17.7898639456,50536,244.5,8.73214285714,4.5625,693.78,115.63
994,4785,AVOCA,4011.96,143.284285714,78.0,16.434047619,51521,271.8,9.70714285714,3.92464285714,935.58,133.654285714
995,4786,WINTERSET,2191.4,95.2782608696,61.0,22.0035403727,50273,142.12,6.17913043478,4.3947826087,591.68,59.168
996,4787,SWISHER,4842.67,96.8534,52.0,16.7774285714,52338,353.25,7.065,4.5894,1698.42,130.647692308
997,4788,CEDAR RAPIDS,3784.86,135.173571429,57.0,14.1755102041,52405,303.75,10.8482142857,4.92357142857,716.04,143.208
998,4789,BUSSEY,1826.94,121.796,63.0,10.3057460317,50044,207.0,13.8,2.06066666667,549.36,109.872
999,4790,MEDIAPOLIS,1528.33,49.3009677419,29.0,20.7276804916,52405,98.95,3.19193548387,4.93161290323,186.18,62.06
1000,4791,SIOUX CITY,2668.26,166.76625,97.0,18.3278571429,51106,147.0,9.1875,4.986875,954.9,159.15
1001,4792,DE SOTO,1806.12,129.008571429,25.0,13.5011564626,50069,152.1,10.8642857143,3.07142857143,94.2,94.2
1002,4793,FORT MADISON,2027.23,48.2673809524,56.0,21.3049206349,52627,111.33,2.65071428571,4.30214285714,105.43,52.715
1003,4794,BURLINGTON,42047.61,67.4921508828,29.0,20.3450859895,52601,2399.52,3.85155698234,4.83398073836,12055.44,73.9597546012
1004,4795,DES MOINES,11174.28,189.394576271,77.0,15.0932041969,50317,850.5,14.4152542373,4.66389830508,2272.86,142.05375
1005,4796,DES MOINES,2723.22,160.189411765,77.0,15.9872268908,50321,178.5,10.5,4.72235294118,184.8,92.4
1006,4797,DES MOINES,6645.9,170.407692308,77.0,15.5013919414,50316,474.0,12.1538461538,5.09769230769,2206.32,169.716923077
1007,4798,DES MOINES,4334.52,197.023636364,77.0,17.901038961,50320,259.5,11.7954545455,5.31136363636,708.72,236.24
1008,4799,DES MOINES,2620.35,104.814,77.0,13.6806095238,50317,207.75,8.31,4.6408,1232.82,136.98
1009,4800,DES MOINES,3408.78,136.3512,77.0,13.964647619,50320,299.25,11.97,4.5752,831.0,118.714285714
1010,4801,DES MOINES,9994.05,129.792857143,77.0,14.3514471243,50311,802.5,10.4220779221,4.73467532468,2671.8,127.228571429
1011,4802,DES MOINES,17806.98,160.423243243,77.0,16.2253110253,50310,1294.5,11.6621621622,5.11189189189,3625.74,157.640869565
1012,4803,DES MOINES,11577.42,163.062253521,77.0,16.4905700872,50313,762.0,10.7323943662,4.87985915493,3059.82,191.23875
1013,4804,DES MOINES,9908.82,154.8253125,77.0,14.9393452381,50312,787.5,12.3046875,4.96921875,1724.28,143.69
1014,4805,FORT DODGE,14307.2,81.7554285714,94.0,18.6296108844,50501,963.73,5.50702857143,3.68017142857,3705.17,60.7404918033
1015,4806,WEST LIBERTY,10268.38,144.625070423,70.0,19.860952381,52776,572.0,8.05633802817,6.37281690141,1812.64,151.053333333
1016,4807,WILLIAMSBURG,22577.95,139.370061728,48.0,13.4697736626,52361,1971.5,12.1697530864,4.87438271605,4899.2,132.410810811
1017,4808,COUNCIL BLUFFS,5789.92,99.8262068966,78.0,15.1819868637,51501,428.35,7.38534482759,3.54396551724,1155.66,128.406666667
1018,4810,ANKENY,9260.7,89.9097087379,77.0,17.6306981045,50021,617.67,5.9967961165,4.07485436893,2544.77,90.8846428571
1019,4811,LOVILIA,812.44,73.8581818182,68.0,18.6603463203,50150,48.15,4.37727272727,3.66090909091,157.06,78.53
1020,4812,CHARLES CITY,4837.83,124.046923077,34.0,20.4344871795,50616,291.02,7.46205128205,5.02153846154,4837.83,124.046923077
1021,4813,GRAND MOUND,2814.35,57.4357142857,23.0,17.5877842566,52751,244.33,4.98632653061,4.19265306122,337.2,48.1714285714
1022,4817,KNOXVILLE,4062.5,81.25,63.0,17.1513904762,50138,342.3,6.846,3.5524,814.85,74.0772727273
1023,4818,DECORAH,11589.1,125.968478261,96.0,16.724673913,52101,835.57,9.0822826087,4.27663043478,3727.86,133.137857143
1024,4819,ALTOONA,12318.8,41.7586440678,77.0,19.9513720743,50009,913.27,3.09583050847,3.74813559322,3081.08,44.6533333333
1025,4820,INWOOD,7276.27,47.8701973684,60.0,15.6649984336,51240,594.3,3.90986842105,4.68085526316,1748.26,47.2502702703
1026,4821,OSKALOOSA,2919.18,126.920869565,62.0,12.7548861284,52577,254.7,11.0739130435,2.67434782609,997.08,142.44
1027,4823,CRESTON,2267.58,61.2859459459,88.0,16.9191505792,50801,185.25,5.00675675676,4.02810810811,607.39,60.739
1028,4824,CRESTON,3972.64,116.842352941,88.0,19.4438935574,50801,256.7,7.55,4.02235294118,1034.39,114.932222222
1029,4825,OSCEOLA,4921.42,100.437142857,20.0,16.7065111759,50213,329.0,6.71428571429,3.70755102041,1557.16,129.763333333
1030,4827,IOWA CITY,19911.91,143.251151079,52.0,21.8989893799,52240,1216.2,8.74964028777,5.38064748201,4041.78,149.695555556
1031,4828,MARSHALLTOWN,4887.9,203.6625,64.0,16.4216269841,50158,357.6,14.9,4.38375,991.32,198.264
1032,4829,DES MOINES,878812.7,478.656154684,77.0,21.4495733479,50314,50792.74,27.6648910675,6.21397058824,203842.07,450.978030973
1033,4831,BOONE,2224.13,57.028974359,8.0,18.9837240537,50036,191.8,4.91794871795,4.46897435897,321.81,45.9728571429
