,storeNumber,city,totalSales15,averageSale15,countyNumber,averagePrice(L),zipCode,totalVolSold(L)15,averageVolSold(L)15,averageMargin15,predictor,Q1AverageSales15,TotalSales16toDate,AverageSale16toDate,Q1TotalSales16,Q1AverageSale16
1109,4925.0,URBANDALE,2968.25,76.108974359,77.0,16.494993895,50266,195.86,5.02205128205,4.30641025641,413.78,68.9633333333,958.32,73.7169230769,958.32,73.7169230769
1110,4926.0,DES MOINES,4033.2,52.3792207792,77.0,23.8061750155,50322,200.0,2.5974025974,4.90467532468,556.72,39.7657142857,429.54,42.954,429.54,42.954
1111,4927.0,WEST DES MOINES,2158.74,41.5142307692,77.0,17.0795604396,50265,150.6,2.89615384615,3.515,500.31,50.031,763.95,50.93,763.95,50.93
1112,4929.0,ADEL,528.24,132.06,25.0,12.9866666667,50003,45.0,11.25,2.3975,342.0,171.0,511.56,170.52,511.56,170.52
1113,4930.0,BOONE,2837.16,157.62,8.0,15.3695238095,50036,221.2,12.2888888889,4.07388888889,535.68,178.56,526.98,105.396,526.98,105.396
1114,4932.0,CEDAR FALLS,9197.58,104.517954545,7.0,15.1848160173,50613,711.81,8.08875,3.64795454545,2308.51,104.932272727,2259.59,86.9073076923,2259.59,86.9073076923
1115,4933.0,BURLINGTON,2150.76,126.515294118,29.0,18.1319327731,52601,164.7,9.68823529412,2.27,977.04,122.13,285.88,95.2933333333,285.88,95.2933333333
1116,4934.0,SPRINGVILLE,3820.14,181.911428571,57.0,12.4493424036,52336,361.5,17.2142857143,4.10428571429,701.1,175.275,976.56,162.76,976.56,162.76
1117,4935.0,WATERLOO,28466.11,222.391484375,7.0,24.2044084821,50703,1706.66,13.33328125,3.5140625,3928.69,135.472068966,2543.4,94.2,2543.4,94.2
1118,4937.0,SHENANDOAH,2003.36,117.844705882,73.0,15.1319327731,51601,179.85,10.5794117647,3.64823529412,543.12,135.78,860.16,143.36,860.16,143.36
1119,4938.0,HAZLETON,3370.78,124.843703704,10.0,14.9930335097,50641,251.9,9.32962962963,3.17,872.8,124.685714286,523.08,130.77,523.08,130.77
1121,4940.0,CAMBRIDGE,1425.39,38.5240540541,77.0,15.8173487773,50046,110.46,2.98540540541,4.21594594595,323.36,32.336,691.03,49.3592857143,691.03,49.3592857143
1122,4941.0,URBANDALE,6832.39,80.3810588235,77.0,15.3574789916,50322,482.05,5.67117647059,3.50823529412,1891.17,94.5585,2697.72,112.405,2697.72,112.405
1123,4942.0,DES MOINES,3511.18,113.263870968,77.0,15.9771368962,50309,249.6,8.05161290323,4.62451612903,696.6,139.32,1279.5,159.9375,1279.5,159.9375
1124,4943.0,ELDON,3206.83,97.1766666667,90.0,15.4986580087,52554,238.5,7.22727272727,4.20181818182,654.18,59.4709090909,309.11,51.5183333333,309.11,51.5183333333
1125,4944.0,MARTENSDALE,2233.98,131.410588235,91.0,19.6735014006,50160,121.5,7.14705882353,4.75235294118,270.72,135.36,308.88,102.96,308.88,102.96
