schoolID,sysID,schoolName,sysName,county,street,city,state,zip,adress,latitude,longitude,locClass,chrtr,titleI,stdTchRatio,freeLnch,reducedLnch
205,729,AMERICUS SUMTER COUNTY HIGH NORTH,SUMTER COUNTY,SUMTER COUNTY,101 INDUSTRIAL BLVD,AMERICUS,GA,31719,"101 INDUSTRIAL BLVD,AMERICUS,GA,31719",32.113042,-84.200253,41,No,Yes,12.3,244,48
105,729,AMERICUS SUMTER COUNTY HIGH SOUTH,SUMTER COUNTY,SUMTER COUNTY,805 HARROLD AVE,AMERICUS,GA,31709,"805 HARROLD AVE,AMERICUS,GA,31709",32.060169,-84.23287,32,No,Yes,17.5,655,95
1050,631,ANDERSON ELEMENTARY SCHOOL,CLAYTON COUNTY,CLAYTON COUNTY,4199 OLD ROCK CUT RD,CONLEY,GA,30288,"4199 OLD ROCK CUT RD,CONLEY,GA,30288",33.640512,-84.333404,21,No,Yes,16.3,551,0
1016,667,ANDERSON-LIVSEY ELEMENTARY SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,4521 CENTERVILLE HWY,SNELLVILLE,GA,30039,"4521 CENTERVILLE HWY,SNELLVILLE,GA,30039",33.775456,-84.050069,21,No,Yes,15,508,66
101,666,ANITA WHITE CARSON MIDDLE SCHOOL,GREENE COUNTY,GREENE COUNTY,1010 S MAIN ST,GREENSBORO,GA,30642,"1010 S MAIN ST,GREENSBORO,GA,30642",33.563944,-83.183928,32,No,Yes,10.3,306,0
1050,726,ANNE STREET ELEMENTARY SCHOOL,SPALDING COUNTY,SPALDING COUNTY,802 ANNE ST,GRIFFIN,GA,30224,"802 ANNE ST,GRIFFIN,GA,30224",33.238014,-84.277354,21,No,Yes,17.1,443,26
5052,648,ANNETTE WINN ELEMENTARY SCHOOL,DOUGLAS COUNTY,DOUGLAS COUNTY,3536 VETERANS MEMORIAL HWY,LITHIA SPRINGS,GA,30122,"3536 VETERANS MEMORIAL HWY,LITHIA SPRINGS,GA,30122",33.795897,-84.65769,21,No,Yes,14.8,350,32
104,737,ANNIE BELLE CLARK PRIMARY SCHOOL,TIFT COUNTY,TIFT COUNTY,1464 CARPENTER RD S,TIFTON,GA,31793,"1464 CARPENTER RD S,TIFTON,GA,31793",31.467726,-83.546336,32,No,Yes,15.1,806,0
282,667,ANNISTOWN ELEMENTARY SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,3150 SPAIN RD,SNELLVILLE,GA,30039,"3150 SPAIN RD,SNELLVILLE,GA,30039",33.803231,-84.068928,21,No,Yes,13,394,39
1050,755,ANTIOCH ELEMENTARY SCHOOL,WHITFIELD COUNTY,WHITFIELD COUNTY,1819 RIVERBEND RD,DALTON,GA,30721,"1819 RIVERBEND RD,DALTON,GA,30721",34.732842,-84.936805,23,No,Yes,14.8,418,74
101,607,APALACHEE HIGH SCHOOL,BARROW COUNTY,BARROW COUNTY,940 HAYMON MORRIS RD,WINDER,GA,30680,"940 HAYMON MORRIS RD,WINDER,GA,30680",33.948384,-83.785743,41,No,Yes,15.5,717,183
177,601,APPLING COUNTY ELEMENTARY SCHOOL,APPLING COUNTY,APPLING COUNTY,680 BLACKSHEAR HWY,BAXLEY,GA,31513,"680 BLACKSHEAR HWY,BAXLEY,GA,31513",31.754824,-82.354584,33,No,Yes,14.3,480,1
103,601,APPLING COUNTY HIGH SCHOOL,APPLING COUNTY,APPLING COUNTY,482 BLACKSHEAR HWY,BAXLEY,GA,31513,"482 BLACKSHEAR HWY,BAXLEY,GA,31513",31.757758,-82.354021,33,No,No,16.4,726,0
195,601,APPLING COUNTY MIDDLE SCHOOL,APPLING COUNTY,APPLING COUNTY,2997 BLACKSHEAR HWY,BAXLEY,GA,31513,"2997 BLACKSHEAR HWY,BAXLEY,GA,31513",31.723121,-82.33976,41,No,Yes,15.6,553,0
277,601,APPLING COUNTY PRIMARY SCHOOL,APPLING COUNTY,APPLING COUNTY,678 BLACKSHEAR HWY,BAXLEY,GA,31513,"678 BLACKSHEAR HWY,BAXLEY,GA,31513",31.746171,-82.349213,33,No,Yes,15.3,706,0
5050,611,APPLING MIDDLE SCHOOL,BIBB COUNTY,BIBB COUNTY,1210 SHURLING DR,MACON,GA,31211,"1210 SHURLING DR,MACON,GA,31211",32.861437,-83.602274,13,No,Yes,16.9,589,18
403,761,APS-FORREST HILLS ACADEMY,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,2930 FORREST HILLS DR SW,ATLANTA,GA,30315,"2930 FORREST HILLS DR SW,ATLANTA,GA,30315",33.675042,-84.398465,11,No,Yes,6.5,243,0
610,644,ARABIA MOUNTAIN HIGH SCHOOL - ACADEMY OF ENGINEERI,DEKALB COUNTY,DEKALB COUNTY,6610 BROWNS MILL ROAD,LITHONIA,GA,30038,"6610 BROWNS MILL ROAD,LITHONIA,GA,30038",33.650445,-84.131025,41,No,No,18.9,585,109
101,638,ARBOR SPRINGS ELEMENTARY,COWETA COUNTY,COWETA COUNTY,4840 HIGHWAY 29 N,NEWNAN,GA,30265,"4840 HIGHWAY 29 N,NEWNAN,GA,30265",33.486391,-84.679331,21,No,No,15.9,101,33
178,648,ARBOR STATION ELEMENTARY SCHOOL,DOUGLAS COUNTY,DOUGLAS COUNTY,9999 PARKWAY S,DOUGLASVILLE,GA,30135,"9999 PARKWAY S,DOUGLASVILLE,GA,30135",33.712036,-84.75225,21,No,No,16.4,325,36
382,667,ARCADO ELEMENTARY SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,5150 ARCADO RD SW,LILBURN,GA,30047,"5150 ARCADO RD SW,LILBURN,GA,30047",33.872415,-84.141579,21,No,No,15.4,486,98
1710,667,ARCHER HIGH SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,2255 NEW HOPE RD,LAWRENCEVILLE,GA,30045,"2255 NEW HOPE RD,LAWRENCEVILLE,GA,30045",33.916153,-83.893613,21,No,No,20.1,671,215
2050,633,ARGYLE ELEMENTARY SCHOOL,COBB COUNTY,COBB COUNTY,2420 SPRING RD SE,SMYRNA,GA,30080,"2420 SPRING RD SE,SMYRNA,GA,30080",33.883185,-84.483493,21,No,Yes,10.2,392,24
195,657,ARMUCHEE ELEMENTARY SCHOOL,FLOYD COUNTY,FLOYD COUNTY,5075 MARTHA BERRY HWY NW,ROME,GA,30165,"5075 MARTHA BERRY HWY NW,ROME,GA,30165",34.364822,-85.1726,41,No,No,16.8,170,48
401,657,ARMUCHEE HIGH SCHOOL,FLOYD COUNTY,FLOYD COUNTY,4203 MARTHA BERRY HWY NW,ROME,GA,30165,"4203 MARTHA BERRY HWY NW,ROME,GA,30165",34.342623,-85.175047,23,No,No,16.5,185,41
303,657,ARMUCHEE MIDDLE SCHOOL,FLOYD COUNTY,FLOYD COUNTY,471 FLOYD SPRINGS RD NE,ARMUCHEE,GA,30105,"471 FLOYD SPRINGS RD NE,ARMUCHEE,GA,30105",34.386236,-85.163763,41,No,No,13.9,190,40
395,638,ARNALL MIDDLE SCHOOL,COWETA COUNTY,COWETA COUNTY,700 LORA SMITH RD,NEWNAN,GA,30265,"700 LORA SMITH RD,NEWNAN,GA,30265",33.392673,-84.70223,21,No,Yes,16.1,346,71
1050,638,ARNCO-SARGENT ELEMENTARY SCHOOL,COWETA COUNTY,COWETA COUNTY,2449 HIGHWAY 16 W,NEWNAN,GA,30263,"2449 HIGHWAY 16 W,NEWNAN,GA,30263",33.43806,-84.873312,41,No,Yes,14.3,280,28
1550,631,ARNOLD ELEMENTARY SCHOOL,CLAYTON COUNTY,CLAYTON COUNTY,216 STOCKBRIDGE RD,JONESBORO,GA,30236,"216 STOCKBRIDGE RD,JONESBORO,GA,30236",33.52424,-84.347887,21,No,Yes,17,515,0
2050,706,ARNOLD MIDDLE SCHOOL,MUSCOGEE COUNTY,MUSCOGEE COUNTY,2011 51ST ST,COLUMBUS,GA,31904,"2011 51ST ST,COLUMBUS,GA,31904",32.514449,-84.963151,12,No,Yes,14.9,431,65
397,628,ARNOLD MILL ELEMENTARY SCHOOL,CHEROKEE COUNTY,CHEROKEE COUNTY,710 ARNOLD MILL RD,WOODSTOCK,GA,30188,"710 ARNOLD MILL RD,WOODSTOCK,GA,30188",34.10844,-84.437918,21,No,No,18.6,168,42
294,751,ARTHUR WILLIAMS MIDDLE SCHOOL,WAYNE COUNTY,WAYNE COUNTY,1175 S US HIGHWAY 301,JESUP,GA,31546,"1175 S US HIGHWAY 301,JESUP,GA,31546",31.58353,-81.875235,41,No,Yes,16.1,381,43
3050,644,ASHFORD PARK ELEMENTARY SCHOOL,DEKALB COUNTY,DEKALB COUNTY,2968 CRAVENRIDGE DR NE,ATLANTA,GA,30319,"2968 CRAVENRIDGE DR NE,ATLANTA,GA,30319",33.874336,-84.322011,21,No,No,13.6,212,7
292,664,ASHWORTH MIDDLE SCHOOL,GORDON COUNTY,GORDON COUNTY,333 NEWTOWN RD NE,CALHOUN,GA,30701,"333 NEWTOWN RD NE,CALHOUN,GA,30701",34.517841,-84.924578,32,No,Yes,15.1,462,66
101,747,ATHA ROAD ELEMENTARY SCHOOL,WALTON COUNTY,WALTON COUNTY,821 H D ATHA RD,MONROE,GA,30655,"821 H D ATHA RD,MONROE,GA,30655",33.792487,-83.785316,21,No,Yes,15.8,455,48
103,602,ATKINSON COUNTY HIGH SCHOOL,ATKINSON COUNTY,ATKINSON COUNTY,145 REBEL LN,PEARSON,GA,31642,"145 REBEL LN,PEARSON,GA,31642",31.321162,-82.847133,43,No,Yes,17.8,321,52
111,602,ATKINSON COUNTY MIDDLE SCHOOL,ATKINSON COUNTY,ATKINSON COUNTY,145 REBEL LN,PEARSON,GA,31642,"145 REBEL LN,PEARSON,GA,31642",31.321162,-82.847133,43,No,Yes,16.5,289,57
110,613,ATKINSON ELEMENTARY SCHOOL,BRANTLEY COUNTY,BRANTLEY COUNTY,4327 HIGHWAY 110 E,WAYNESVILLE,GA,31566,"4327 HIGHWAY 110 E,WAYNESVILLE,GA,31566",31.206019,-81.830138,42,No,Yes,13.2,202,45
2050,638,ATKINSON ELEMENTARY SCHOOL,COWETA COUNTY,COWETA COUNTY,14 NIMMONS ST,NEWNAN,GA,30263,"14 NIMMONS ST,NEWNAN,GA,30263",33.366483,-84.799777,21,No,Yes,14.2,272,37
1550,726,ATKINSON ELEMENTARY SCHOOL,SPALDING COUNTY,SPALDING COUNTY,307 ATKINSON DR,GRIFFIN,GA,30223,"307 ATKINSON DR,GRIFFIN,GA,30223",33.270545,-84.260273,21,No,Yes,14.8,380,25
1893,7991893,ATLANTA AREA SCHOOL FOR THE DEAF,STATE SCHOOLS,DEKALB COUNTY,890 N INDIAN CREEK DR,CLARKSTON,GA,30021,"890 N INDIAN CREEK DR,CLARKSTON,GA,30021",33.80257,-84.239995,21,No,No,3.2,111,31
415,761,ATLANTA CLASSICAL ACADEMY,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,3260 NORTHSIDE DR NW,ATLANTA,GA,30305,"3260 NORTHSIDE DR NW,ATLANTA,GA,30305",33.843503,-84.407871,,Yes,No,17.10792873,428.0284571,46.01911961
410,7830410,ATLANTA HEIGHTS CHARTER SCHOOL,COMMISSION CHARTER SCHOOLS- ATLANTA HEIGHTS CHARTER SCHOOL,FULTON COUNTY,3670 MARTIN LUTHER KING JR DR,ATLANTA,GA,30331,"3670 MARTIN LUTHER KING JR DR,ATLANTA,GA,30331",33.762663,-84.511955,11,Yes,Yes,20.9,605,33
505,761,ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,688 GRANT ST SE,ATLANTA,GA,30315,"688 GRANT ST SE,ATLANTA,GA,30315",33.735809,-84.37637,11,Yes,No,14.7,51,7
206,761,ATLANTA NEIGHBORHOOD CHARTER - MIDDLE,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,820 ESSIE AVE SE,ATLANTA,GA,30316,"820 ESSIE AVE SE,ATLANTA,GA,30316",33.732409,-84.355128,11,Yes,Yes,8.8,57,11
104,891,ATLANTA YOUTH DETENTION CENTER,DEPARTMENT OF JUVENILE JUSTICE,FULTON COUNTY,5651 STONEWALL TELL RD,COLLEGE PARK,GA,30349,"5651 STONEWALL TELL RD,COLLEGE PARK,GA,30349",33.636481,-84.579823,21,No,Yes,17.10792873,428.0284571,46.01911961
1050,607,AUBURN ELEMENTARY SCHOOL,BARROW COUNTY,BARROW COUNTY,1334 6TH AVE,AUBURN,GA,30011,"1334 6TH AVE,AUBURN,GA,30011",34.009639,-83.824346,41,No,Yes,14.2,453,75
1498,891,AUGUSTA REGIONAL YOUTH DETENTION CENTER,DEPARTMENT OF JUVENILE JUSTICE,RICHMOND COUNTY,3485 MIKE PADGETT HWY,AUGUSTA,GA,30906,"3485 MIKE PADGETT HWY,AUGUSTA,GA,30906",33.391272,-82.006027,12,No,Yes,17.10792873,428.0284571,46.01911961
298,891,AUGUSTA YOUTH DEVELOPMENT CAMPUS,DEPARTMENT OF JUVENILE JUSTICE,RICHMOND COUNTY,3481 MIKE PADGETT HWY,AUGUSTA,GA,30906,"3481 MIKE PADGETT HWY,AUGUSTA,GA,30906",33.392859,-82.005174,12,No,Yes,17.10792873,428.0284571,46.01911961
207,633,AUSTELL ELEMENTARY SCHOOL,COBB COUNTY,COBB COUNTY,5600 MULBERRY ST,AUSTELL,GA,30106,"5600 MULBERRY ST,AUSTELL,GA,30106",33.816623,-84.634309,21,No,Yes,15.1,376,33
175,644,AUSTIN ELEMENTARY SCHOOL,DEKALB COUNTY,DEKALB COUNTY,5435 ROBERTS DR,DUNWOODY,GA,30338,"5435 ROBERTS DR,DUNWOODY,GA,30338",33.95962,-84.335631,21,No,No,16.1,18,4
