schoolID,sysID,schoolName,sysName,county,street,city,state,zip,locClass,chrtr,titleI,stdTchRatio,freeLnch,reducedLnch
5052,648,ANNETTE WINN ELEMENTARY SCHOOL,DOUGLAS COUNTY,DOUGLAS COUNTY,3536 VETERANS MEMORIAL HWY,LITHIA SPRINGS,GA,30122,21,No,Yes,14.8,350,32
104,737,ANNIE BELLE CLARK PRIMARY SCHOOL,TIFT COUNTY,TIFT COUNTY,1464 CARPENTER RD S,TIFTON,GA,31793,32,No,Yes,15.1,806,0
282,667,ANNISTOWN ELEMENTARY SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,3150 SPAIN RD,SNELLVILLE,GA,30039,21,No,Yes,13,394,39
1050,755,ANTIOCH ELEMENTARY SCHOOL,WHITFIELD COUNTY,WHITFIELD COUNTY,1819 RIVERBEND RD,DALTON,GA,30721,23,No,Yes,14.8,418,74
101,607,APALACHEE HIGH SCHOOL,BARROW COUNTY,BARROW COUNTY,940 HAYMON MORRIS RD,WINDER,GA,30680,41,No,Yes,15.5,717,183
177,601,APPLING COUNTY ELEMENTARY SCHOOL,APPLING COUNTY,APPLING COUNTY,680 BLACKSHEAR HWY,BAXLEY,GA,31513,33,No,Yes,14.3,480,1
103,601,APPLING COUNTY HIGH SCHOOL,APPLING COUNTY,APPLING COUNTY,482 BLACKSHEAR HWY,BAXLEY,GA,31513,33,No,No,16.4,726,0
195,601,APPLING COUNTY MIDDLE SCHOOL,APPLING COUNTY,APPLING COUNTY,2997 BLACKSHEAR HWY,BAXLEY,GA,31513,41,No,Yes,15.6,553,0
277,601,APPLING COUNTY PRIMARY SCHOOL,APPLING COUNTY,APPLING COUNTY,678 BLACKSHEAR HWY,BAXLEY,GA,31513,33,No,Yes,15.3,706,0
5050,611,APPLING MIDDLE SCHOOL,BIBB COUNTY,BIBB COUNTY,1210 SHURLING DR,MACON,GA,31211,13,No,Yes,16.9,589,18
403,761,APS-FORREST HILLS ACADEMY,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,2930 FORREST HILLS DR SW,ATLANTA,GA,30315,11,No,Yes,6.5,243,0
610,644,ARABIA MOUNTAIN HIGH SCHOOL - ACADEMY OF ENGINEERI,DEKALB COUNTY,DEKALB COUNTY,6610 BROWNS MILL ROAD,LITHONIA,GA,30038,41,No,No,18.9,585,109
101,638,ARBOR SPRINGS ELEMENTARY,COWETA COUNTY,COWETA COUNTY,4840 HIGHWAY 29 N,NEWNAN,GA,30265,21,No,No,15.9,101,33
178,648,ARBOR STATION ELEMENTARY SCHOOL,DOUGLAS COUNTY,DOUGLAS COUNTY,9999 PARKWAY S,DOUGLASVILLE,GA,30135,21,No,No,16.4,325,36
382,667,ARCADO ELEMENTARY SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,5150 ARCADO RD SW,LILBURN,GA,30047,21,No,No,15.4,486,98
1710,667,ARCHER HIGH SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,2255 NEW HOPE RD,LAWRENCEVILLE,GA,30045,21,No,No,20.1,671,215
2050,633,ARGYLE ELEMENTARY SCHOOL,COBB COUNTY,COBB COUNTY,2420 SPRING RD SE,SMYRNA,GA,30080,21,No,Yes,10.2,392,24
195,657,ARMUCHEE ELEMENTARY SCHOOL,FLOYD COUNTY,FLOYD COUNTY,5075 MARTHA BERRY HWY NW,ROME,GA,30165,41,No,No,16.8,170,48
401,657,ARMUCHEE HIGH SCHOOL,FLOYD COUNTY,FLOYD COUNTY,4203 MARTHA BERRY HWY NW,ROME,GA,30165,23,No,No,16.5,185,41
303,657,ARMUCHEE MIDDLE SCHOOL,FLOYD COUNTY,FLOYD COUNTY,471 FLOYD SPRINGS RD NE,ARMUCHEE,GA,30105,41,No,No,13.9,190,40
395,638,ARNALL MIDDLE SCHOOL,COWETA COUNTY,COWETA COUNTY,700 LORA SMITH RD,NEWNAN,GA,30265,21,No,Yes,16.1,346,71
1050,638,ARNCO-SARGENT ELEMENTARY SCHOOL,COWETA COUNTY,COWETA COUNTY,2449 HIGHWAY 16 W,NEWNAN,GA,30263,41,No,Yes,14.3,280,28
1550,631,ARNOLD ELEMENTARY SCHOOL,CLAYTON COUNTY,CLAYTON COUNTY,216 STOCKBRIDGE RD,JONESBORO,GA,30236,21,No,Yes,17,515,0
2050,706,ARNOLD MIDDLE SCHOOL,MUSCOGEE COUNTY,MUSCOGEE COUNTY,2011 51ST ST,COLUMBUS,GA,31904,12,No,Yes,14.9,431,65
397,628,ARNOLD MILL ELEMENTARY SCHOOL,CHEROKEE COUNTY,CHEROKEE COUNTY,710 ARNOLD MILL RD,WOODSTOCK,GA,30188,21,No,No,18.6,168,42
294,751,ARTHUR WILLIAMS MIDDLE SCHOOL,WAYNE COUNTY,WAYNE COUNTY,1175 S US HIGHWAY 301,JESUP,GA,31546,41,No,Yes,16.1,381,43
3050,644,ASHFORD PARK ELEMENTARY SCHOOL,DEKALB COUNTY,DEKALB COUNTY,2968 CRAVENRIDGE DR NE,ATLANTA,GA,30319,21,No,No,13.6,212,7
292,664,ASHWORTH MIDDLE SCHOOL,GORDON COUNTY,GORDON COUNTY,333 NEWTOWN RD NE,CALHOUN,GA,30701,32,No,Yes,15.1,462,66
101,747,ATHA ROAD ELEMENTARY SCHOOL,WALTON COUNTY,WALTON COUNTY,821 H D ATHA RD,MONROE,GA,30655,21,No,Yes,15.8,455,48
103,602,ATKINSON COUNTY HIGH SCHOOL,ATKINSON COUNTY,ATKINSON COUNTY,145 REBEL LN,PEARSON,GA,31642,43,No,Yes,17.8,321,52
111,602,ATKINSON COUNTY MIDDLE SCHOOL,ATKINSON COUNTY,ATKINSON COUNTY,145 REBEL LN,PEARSON,GA,31642,43,No,Yes,16.5,289,57
110,613,ATKINSON ELEMENTARY SCHOOL,BRANTLEY COUNTY,BRANTLEY COUNTY,4327 HIGHWAY 110 E,WAYNESVILLE,GA,31566,42,No,Yes,13.2,202,45
2050,638,ATKINSON ELEMENTARY SCHOOL,COWETA COUNTY,COWETA COUNTY,14 NIMMONS ST,NEWNAN,GA,30263,21,No,Yes,14.2,272,37
1550,726,ATKINSON ELEMENTARY SCHOOL,SPALDING COUNTY,SPALDING COUNTY,307 ATKINSON DR,GRIFFIN,GA,30223,21,No,Yes,14.8,380,25
1893,7991893,ATLANTA AREA SCHOOL FOR THE DEAF,STATE SCHOOLS,DEKALB COUNTY,890 N INDIAN CREEK DR,CLARKSTON,GA,30021,21,No,No,3.2,111,31
415,761,ATLANTA CLASSICAL ACADEMY,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,3260 NORTHSIDE DR NW,ATLANTA,GA,30305,,Yes,No,17.10792873,428.0284571,46.01911961
410,7830410,ATLANTA HEIGHTS CHARTER SCHOOL,COMMISSION CHARTER SCHOOLS- ATLANTA HEIGHTS CHARTER SCHOOL,FULTON COUNTY,3670 MARTIN LUTHER KING JR DR,ATLANTA,GA,30331,11,Yes,Yes,20.9,605,33
505,761,ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,688 GRANT ST SE,ATLANTA,GA,30315,11,Yes,No,14.7,51,7
206,761,ATLANTA NEIGHBORHOOD CHARTER - MIDDLE,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,820 ESSIE AVE SE,ATLANTA,GA,30316,11,Yes,Yes,8.8,57,11
104,891,ATLANTA YOUTH DETENTION CENTER,DEPARTMENT OF JUVENILE JUSTICE,FULTON COUNTY,5651 STONEWALL TELL RD,COLLEGE PARK,GA,30349,21,No,Yes,17.10792873,428.0284571,46.01911961
1050,607,AUBURN ELEMENTARY SCHOOL,BARROW COUNTY,BARROW COUNTY,1334 6TH AVE,AUBURN,GA,30011,41,No,Yes,14.2,453,75
1498,891,AUGUSTA REGIONAL YOUTH DETENTION CENTER,DEPARTMENT OF JUVENILE JUSTICE,RICHMOND COUNTY,3485 MIKE PADGETT HWY,AUGUSTA,GA,30906,12,No,Yes,17.10792873,428.0284571,46.01911961
298,891,AUGUSTA YOUTH DEVELOPMENT CAMPUS,DEPARTMENT OF JUVENILE JUSTICE,RICHMOND COUNTY,3481 MIKE PADGETT HWY,AUGUSTA,GA,30906,12,No,Yes,17.10792873,428.0284571,46.01911961
207,633,AUSTELL ELEMENTARY SCHOOL,COBB COUNTY,COBB COUNTY,5600 MULBERRY ST,AUSTELL,GA,30106,21,No,Yes,15.1,376,33
175,644,AUSTIN ELEMENTARY SCHOOL,DEKALB COUNTY,DEKALB COUNTY,5435 ROBERTS DR,DUNWOODY,GA,30338,21,No,No,16.1,18,4
294,675,AUSTIN ROAD ELEMENTARY SCHOOL,HENRY COUNTY,HENRY COUNTY,50 AUSTIN RD,STOCKBRIDGE,GA,30281,41,No,Yes,13.6,241,34
397,675,AUSTIN ROAD MIDDLE SCHOOL,HENRY COUNTY,HENRY COUNTY,100 AUSTIN RD,STOCKBRIDGE,GA,30281,41,No,No,18.9,406,80
305,660,AUTREY MILL MIDDLE SCHOOL,FULTON COUNTY,FULTON COUNTY,4110 OLD ALABAMA RD,ALPHARETTA,GA,30022,21,No,No,14.5,108,33
108,628,AVERY ELEMENTARY SCHOOL,CHEROKEE COUNTY,CHEROKEE COUNTY,6391 E CHEROKEE DR,CANTON,GA,30115,21,No,No,19.5,196,16
5050,644,AVONDALE ELEMENTARY SCHOOL,DEKALB COUNTY,DEKALB COUNTY,8 LAKESHORE DR,AVONDALE ESTATES,GA,30002,21,No,Yes,13.6,438,19
4050,633,AWTREY MIDDLE SCHOOL,COBB COUNTY,COBB COUNTY,3601 NOWLIN RD NW,KENNESAW,GA,30144,21,No,No,16.4,245,54
208,726,AZ KELSEY ACADEMY,SPALDING COUNTY,SPALDING COUNTY,200 A Z KELSEY AVE,GRIFFIN,GA,30223,21,No,Yes,11.4,53,4
3050,631,BABB MIDDLE SCHOOL,CLAYTON COUNTY,CLAYTON COUNTY,5500 REYNOLDS RD,FOREST PARK,GA,30297,21,No,Yes,16.6,828,0
3050,603,BACON COUNTY ELEMENTARY SCHOOL,BACON COUNTY,BACON COUNTY,523 E 16TH ST,ALMA,GA,31510,33,No,Yes,17.3,277,33
302,603,BACON COUNTY HIGH SCHOOL,BACON COUNTY,BACON COUNTY,1190 US HIGHWAY 1 S,ALMA,GA,31510,33,No,No,16.7,291,36
202,603,BACON COUNTY MIDDLE SCHOOL,BACON COUNTY,BACON COUNTY,1188 US HWY 1S,ALMA,GA,31510,33,No,Yes,14.3,271,42
102,603,BACON COUNTY PRIMARY SCHOOL,BACON COUNTY,BACON COUNTY,251 CUMBERLAND RD,ALMA,GA,31510,33,No,Yes,16.9,439,32
494,751,BACON ELEMENTARY SCHOOL,WAYNE COUNTY,WAYNE COUNTY,1425 W ORANGE ST,JESUP,GA,31545,32,No,Yes,15.8,535,50
105,701,BACONTON COMMUNITY CHARTER SCHOOL,MITCHELL COUNTY,MITCHELL COUNTY,260 E WALTON ST,BACONTON,GA,31716,42,Yes,No,15.4,751,0
3050,643,BAINBRIDGE HIGH SCHOOL,DECATUR COUNTY,DECATUR COUNTY,1 BEARCAT BOULEVARD,BAINBRIDGE,GA,39819,32,No,Yes,17.1,1303,0
2050,643,BAINBRIDGE MIDDLE SCHOOL,DECATUR COUNTY,DECATUR COUNTY,1301 E. COLLEGE STREET,BAINBRIDGE,GA,39819,32,No,Yes,16.5,798,0
105,604,BAKER COUNTY K12 SCHOOL,BAKER COUNTY,BAKER COUNTY,260 GA HIGHWAY 37 SW,NEWTON,GA,39870,42,No,Yes,12.7,251,10
189,633,BAKER ELEMENTARY SCHOOL,COBB COUNTY,COBB COUNTY,2361 BAKER RD NW,ACWORTH,GA,30101,21,No,No,12.6,231,74
300,706,BAKER MIDDLE SCHOOL,MUSCOGEE COUNTY,MUSCOGEE COUNTY,1215 BENNING DR,COLUMBUS,GA,31903,12,No,Yes,16.2,601,0
212,636,BAKER PLACE ELEMENTARY,COLUMBIA COUNTY,COLUMBIA COUNTY,2011 HERO WAY,GROVETOWN,GA,30813,41,No,No,19,198,82
6104,605,BALDWIN CHILD & FAMILY DEVELOPMENT CENTER,BALDWIN COUNTY,BALDWIN COUNTY,100 NORTH ABC STREET,MILLEDGEVILLE,GA,31061,32,No,No,17.10792873,428.0284571,46.01911961
1050,668,BALDWIN ELEMENTARY SCHOOL,HABERSHAM COUNTY,BANKS COUNTY,P.O. BOX 100,BALDWIN,GA,30511,32,No,Yes,12.8,371,33
189,605,BALDWIN HIGH SCHOOL,BALDWIN COUNTY,BALDWIN COUNTY,155 GA HIGHWAY 49 W,MILLEDGEVILLE,GA,31061,32,No,Yes,14.5,895,114
213,628,BALL GROUND ELEMENTARY SCHOOL,CHEROKEE COUNTY,CHEROKEE COUNTY,321 VALLEY STREET,BALL GROUND,GA,30107,31,No,No,16.8,177,32
108,611,BALLARD HUDSON MIDDLE SCHOOL,BIBB COUNTY,BIBB COUNTY,1070 ANTHONY RD,MACON,GA,31204,13,No,Yes,13.8,389,6
107,606,BANKS COUNTY ELEMENTARY SCHOOL,BANKS COUNTY,BANKS COUNTY,180 HIGHWAY 51 S,HOMER,GA,30547,42,No,Yes,14.6,377,58
199,606,BANKS COUNTY HIGH SCHOOL,BANKS COUNTY,BANKS COUNTY,P.O. BOX 277,HOMER,GA,30547,41,No,No,13.9,431,88
105,606,BANKS COUNTY MIDDLE SCHOOL,BANKS COUNTY,BANKS COUNTY,712 THOMPSON ST,HOMER,GA,30547,42,No,Yes,16.6,400,80
