,year,sysID,sysName,schoolID,schoolName,grd,ccrpi,street,city,county,state,zip,locClass,titleI,chrtr,totStudnts,crprlPun,dtntn,iss,oss,altSchl,physRest,busSusp,explsn,other_discipline_action,pctDisc,bully,disCond,gngRel,hom,sexRelated,drugAlc,weapons,thftRbry,violence,pctBehavrs,stdTchRatio,expPerStudent,salBenSum,freeLnch,reducedLnch,pctMobile,pctAbs5orLess,pctAbsSix-Fiftn,pctOverFiftn,pctSnapTanfHmls,pctAsian,pctNative,pctBlck,pctHisp,pctMulti,pctWhite,pctMigrant,pctSPED,pctESOL,pctAltProg,pctGiftd,adress,latitude,longitude,cluster,cluster2
1015,2015,675,Henry County,208,Walnut Creek Elementary,E,65.4,3535 Mcdonough Pkwy,Mcdonough,Henry County,GA,30253,21.0,Yes,No,563,0,1,35,49,0,0,0,0,16,0.150976909414,6,10,0,0,5,0,0,5,12,0.0674955595027,-0.00304122937424,0.0356096454024,0.0170860844645,-0.0642625041073,0.0577392889844,0.0226776151919,0.0959961634955,-0.0712292034859,-0.0638023686351,-0.00905732610459,-0.0261740383886,-0.0265533722783,0.233841334213,-0.0700566471942,0.337082991358,-0.184903595001,-0.0156245632669,0.056867733583,-0.0465146996746,-0.0163558151885,-0.0262623305916,"3535 Mcdonough Pkwy,Mcdonough,Ga,30253",33.468734,-84.1549,3,0
1016,2015,675,Henry County,209,Bethlehem Elementary School,E,69.1,1000 Academic Parkway,Locust Grove,Henry County,GA,30248,41.0,No,No,605,0,0,10,7,0,0,0,0,1,0.0280991735537,0,0,0,0,0,0,1,0,0,0.00165289256198,-0.00178657193375,0.0100033024436,0.0170860844645,-0.110630989951,-0.00257817133301,-0.0108188541545,-0.0160728020217,0.0681150588092,-0.0386275434603,-0.206859523907,-0.0103010225156,-0.0265533722783,0.0924271927989,-0.0492233138609,0.0643557186308,-0.0420464521443,-0.0156245632669,0.0174140158289,-0.0516429048028,-0.0163558151885,0.164288850511,"1000 Academic Parkway,Locust Grove,Ga,30248",33.382925,-84.14494,1,3
1017,2015,675,Henry County,211,Rocky Creek Elementary,E,79.7,803 Hampton Locust Grove Rd,Hampton,Henry County,GA,30228,41.0,Yes,No,804,0,0,78,22,0,0,32,0,110,0.164179104478,1,142,0,0,0,0,0,6,8,0.195273631841,-0.00140637270935,-0.04102780643,0.0170860844645,-0.0330766198233,-0.0152765840314,0.000450118787724,0.0248754738404,0.00418063257968,-0.0358303406631,-0.0640023810496,-0.0261740383886,-0.0265533722783,0.0419221422939,-0.0283899805275,0.0643557186308,0.00897395601895,-0.0156245632669,-0.0372142087538,-0.0439505971104,-0.0163558151885,-0.0593331967333,"803 Hampton Locust Grove Rd,Hampton,Ga,30228",33.378603,-84.247411,5,2
1018,2015,675,Henry County,213,Locust Grove Middle,M,55.9,3315 S Ola Rd,Locust Grove,Henry County,GA,30248,41.0,No,No,1060,0,0,352,102,9,0,11,0,45,0.447169811321,12,125,0,0,11,9,0,5,63,0.212264150943,-0.000760034027883,-0.0315415251975,0.0170860844645,-0.0232284458389,0.121231352477,-0.0211946998216,-0.02361590547,0.0320494850387,0.00333049849778,-0.107958425006,-0.0261740383886,-0.0265533722783,-0.129795029423,-0.0700566471942,-0.0265533722783,0.213055588672,-0.0156245632669,0.0447281281202,-0.058053161213,-0.0103558151885,0.121769165471,"3315 S Ola Rd,Locust Grove,Ga,30248",33.347246,-84.062037,2,1
1019,2015,675,Henry County,214,Locust Grove High,H,73.5,3275 S Ola Rd,Locust Grove,Henry County,GA,30248,41.0,No,No,1459,0,4,523,125,20,0,3,5,166,0.466072652502,3,197,0,0,5,37,5,4,34,0.195339273475,-0.00114023325228,-0.021076220342,0.0170860844645,0.000981648539434,0.181548812794,-0.0227974563681,-0.123831422711,0.0697544030715,0.0998339950013,-0.162903479951,-0.0261740383886,-0.0265533722783,-0.160098059726,-0.0700566471942,0.0643557186308,0.24366783357,-0.0156245632669,0.0432106774374,-0.0618993150592,-0.00935581518853,0.0225565670462,"3275 S Ola Rd,Locust Grove,Ga,30248",33.349697,-84.059005,2,1
1020,2015,675,Henry County,215,Hampton Middle School,M,54.4,799 Hampton Locust Grove Rd,Hampton,Henry County,GA,30228,21.0,No,No,964,0,0,426,178,10,0,73,3,63,0.715767634855,6,156,1,0,7,5,1,3,57,0.244813278008,-0.000988153562519,-0.0450220039241,0.0170860844645,0.000160967374067,0.143453574699,0.00532031711842,0.0313409910817,-0.00893412151868,-0.0330331378659,-0.0530133700606,-0.0261740383886,-0.0265533722783,0.142932243304,-0.0492233138609,-0.0265533722783,-0.0726586970423,-0.0156245632669,0.0538328322173,-0.0529249560848,-0.0113558151885,0.161139244212,"799 Hampton Locust Grove Rd,Hampton,Ga,30228",33.377044,-84.245372,1,3
1021,2015,675,Henry County,291,Oakland Elementary School,E,61.5,551 Highway 81 W,Mcdonough,Henry County,GA,30253,21.0,Yes,No,951,0,0,130,192,0,0,70,0,17,0.412197686646,1,86,0,0,7,0,2,4,83,0.192429022082,-0.00205271139082,-0.0362923766197,0.0170860844645,0.0239607211697,0.0323424635876,0.0663660317888,-0.0430124571941,0.0468035833994,0.0159179110852,0.0348987178515,-0.0103010225156,-0.0265533722783,0.294447394819,0.0341100194725,0.0643557186308,-0.327760737859,-0.0156245632669,0.0401757760717,-0.00292495608481,-0.0153558151885,-0.0687820156309,"551 Highway 81 W,Mcdonough,Ga,30253",33.430019,-84.196962,3,0
1022,2015,675,Henry County,294,Austin Road Elementary School,E,66.1,50 Austin Rd,Stockbridge,Henry County,GA,30281,41.0,Yes,No,453,0,0,30,16,0,0,2,0,2,0.105960264901,0,4,0,0,0,0,0,0,10,0.0309050772627,-0.00239489069278,0.0382825589826,0.0170860844645,-0.0753416998397,-0.0406734094283,-0.014841156191,0.112159956599,-0.128606252666,-0.0358303406631,-0.0420243590716,-0.0261740383886,-0.0265533722783,0.355053455425,-0.0700566471942,0.15526480954,-0.297148492961,-0.0156245632669,-0.0326618567053,-0.056771109931,-0.0163558151885,-0.0136639053947,"50 Austin Rd,Stockbridge,Ga,30281",33.606725,-84.184074,3,0
1023,2015,675,Henry County,295,Stockbridge High School,H,72.9,1151 Old Conyers Rd,Stockbridge,Henry County,GA,30281,21.0,No,No,1625,0,0,169,96,7,0,8,8,31,0.177230769231,3,20,2,0,2,14,1,6,44,0.0566153846154,-0.000683994183004,-0.0126948229848,0.0170860844645,0.1417284684,0.356151987397,0.00975331209752,-0.124909008918,0.0140166981535,0.148785043952,-0.0640023810496,-0.0103010225156,-0.0265533722783,0.344952445324,-0.0179733138609,-0.0265533722783,-0.317556656226,-0.0156245632669,-0.0174873498767,-0.0554890586489,-0.0153558151885,0.00680853555016,"1151 Old Conyers Rd,Stockbridge,Ga,30281",33.564105,-84.202821,1,3
1024,2015,675,Henry County,297,Hickory Flat Elementary School,E,82.3,841 Brannan Rd,Mcdonough,Henry County,GA,30253,41.0,Yes,Yes,779,0,0,41,107,0,0,111,1,31,0.333761232349,8,125,0,0,0,0,2,6,32,0.222079589217,-0.00186261177862,-0.0152274496435,0.0170860844645,-0.0408730908943,0.0355170667622,0.0165967782896,0.136944439358,-0.120409531355,-0.0735925784253,-0.0969694140167,0.0690640568495,-0.0265533722783,0.324750425122,-0.0492233138609,0.15526480954,-0.337964819491,-0.0156245632669,-0.0114175471453,-0.0426685458284,-0.0163558151885,-0.0640576061821,"841 Brannan Rd,Mcdonough,Ga,30253",33.506732,-84.169107,3,0
