NCES School ID,State School ID,NCES District ID,State District ID,Low Grade*,High Grade*,School Name,District,County Name*,Street Address,City,State,ZIP,ZIP 4-digit,Locale Code*,Locale*,Charter,Title I School*,Title 1 School Wide*,Students*,Teachers*,Student Teacher Ratio*,Free Lunch*,Reduced Lunch*
1.30E+11,177,1300060,601,3,5,APPLING COUNTY ELEMENTARY SCHOOL,APPLING COUNTY,APPLING COUNTY,680 BLACKSHEAR HWY,BAXLEY,GA,31513,9807,33,Town: Remote,No,Yes,Yes,550,38.4,14.3,480,1
1.30E+11,103,1300060,601,9,12,APPLING COUNTY HIGH SCHOOL,APPLING COUNTY,APPLING COUNTY,482 BLACKSHEAR HWY,BAXLEY,GA,31513,9807,33,Town: Remote,No,No,NA,1005,61.3,16.4,726,0
1.30E+11,195,1300060,601,6,8,APPLING COUNTY MIDDLE SCHOOL,APPLING COUNTY,APPLING COUNTY,2997 BLACKSHEAR HWY,BAXLEY,GA,31513,5396,41,Rural: Fringe,No,Yes,Yes,756,48.6,15.6,553,0
1.30E+11,277,1300060,601,PK,2,APPLING COUNTY PRIMARY SCHOOL,APPLING COUNTY,APPLING COUNTY,678 BLACKSHEAR HWY,BAXLEY,GA,31513,9807,33,Town: Remote,No,Yes,Yes,789,51.6,15.3,706,0
1.30E+11,5050,1300420,611,6,8,APPLING MIDDLE SCHOOL,BIBB COUNTY,BIBB COUNTY,1210 SHURLING DR,MACON,GA,31211,2035,13,City: Small,No,Yes,Yes,649,38.3,16.9,589,18
1.30E+11,403,1300120,761,6,12,APS-FORREST HILLS ACADEMY,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,2930 FORREST HILLS DR SW,ATLANTA,GA,30315,,11,City: Large,No,Yes,Yes,246,37.6,6.5,243,0
1.30E+11,610,1301740,644,9,12,ARABIA MOUNTAIN HIGH SCHOOL - ACADEMY OF ENGINEERI,DEKALB COUNTY,DEKALB COUNTY,6610 BROWNS MILL ROAD,LITHONIA,GA,30038,,41,Rural: Fringe,No,No,NA,1363,72.2,18.9,585,109
1.30E+11,101,1301500,638,PK,5,ARBOR SPRINGS ELEMENTARY,COWETA COUNTY,COWETA COUNTY,4840 HIGHWAY 29 N,NEWNAN,GA,30265,,21,Suburb: Large,No,No,NA,429,27,15.9,101,33
1.30E+11,178,1301860,648,KG,5,ARBOR STATION ELEMENTARY SCHOOL,DOUGLAS COUNTY,DOUGLAS COUNTY,9999 PARKWAY S,DOUGLASVILLE,GA,30135,1632,21,Suburb: Large,No,No,NA,611,37.2,16.4,325,36
1.30E+11,382,1302550,667,PK,5,ARCADO ELEMENTARY SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,5150 ARCADO RD SW,LILBURN,GA,30047,5110,21,Suburb: Large,No,No,NA,1170,76,15.4,486,98
1.30E+11,1710,1302550,667,9,12,ARCHER HIGH SCHOOL,GWINNETT COUNTY,GWINNETT COUNTY,2255 NEW HOPE RD,LAWRENCEVILLE,GA,30045,,21,Suburb: Large,No,No,NA,2305,114.6,20.1,671,215
1.30E+11,2050,1301290,633,PK,5,ARGYLE ELEMENTARY SCHOOL,COBB COUNTY,COBB COUNTY,2420 SPRING RD SE,SMYRNA,GA,30080,,21,Suburb: Large,No,Yes,Yes,470,46,10.2,392,24
1.30E+11,195,1302190,657,3,5,ARMUCHEE ELEMENTARY SCHOOL,FLOYD COUNTY,FLOYD COUNTY,5075 MARTHA BERRY HWY NW,ROME,GA,30165,9763,41,Rural: Fringe,No,No,NA,422,25.1,16.8,170,48
1.30E+11,401,1302190,657,9,12,ARMUCHEE HIGH SCHOOL,FLOYD COUNTY,FLOYD COUNTY,4203 MARTHA BERRY HWY NW,ROME,GA,30165,,23,Suburb: Small,No,No,NA,634,38.5,16.5,185,41
1.30E+11,303,1302190,657,6,8,ARMUCHEE MIDDLE SCHOOL,FLOYD COUNTY,FLOYD COUNTY,471 FLOYD SPRINGS RD NE,ARMUCHEE,GA,30105,,41,Rural: Fringe,No,No,NA,489,35.2,13.9,190,40
1.30E+11,395,1301500,638,6,8,ARNALL MIDDLE SCHOOL,COWETA COUNTY,COWETA COUNTY,700 LORA SMITH RD,NEWNAN,GA,30265,1781,21,Suburb: Large,No,Yes,Yes,901,56,16.1,346,71
1.30E+11,1050,1301500,638,PK,5,ARNCO-SARGENT ELEMENTARY SCHOOL,COWETA COUNTY,COWETA COUNTY,2449 HIGHWAY 16 W,NEWNAN,GA,30263,3710,41,Rural: Fringe,No,Yes,Yes,457,32,14.3,280,28
1.30E+11,1550,1301230,631,PK,5,ARNOLD ELEMENTARY SCHOOL,CLAYTON COUNTY,CLAYTON COUNTY,216 STOCKBRIDGE RD,JONESBORO,GA,30236,3629,21,Suburb: Large,No,Yes,Yes,518,30.4,17,515,0
1.30E+11,2050,1303870,706,6,8,ARNOLD MIDDLE SCHOOL,MUSCOGEE COUNTY,MUSCOGEE COUNTY,2011 51ST ST,COLUMBUS,GA,31904,6001,12,City: Midsize,No,Yes,No,715,48.1,14.9,431,65
1.30E+11,397,1301110,628,PK,5,ARNOLD MILL ELEMENTARY SCHOOL,CHEROKEE COUNTY,CHEROKEE COUNTY,710 ARNOLD MILL RD,WOODSTOCK,GA,30188,3007,21,Suburb: Large,No,No,NA,856,46,18.6,168,42
1.31E+11,294,1305550,751,6,8,ARTHUR WILLIAMS MIDDLE SCHOOL,WAYNE COUNTY,WAYNE COUNTY,1175 S US HIGHWAY 301,JESUP,GA,31546,5545,41,Rural: Fringe,No,Yes,Yes,627,39,16.1,381,43
1.30E+11,3050,1301740,644,PK,5,ASHFORD PARK ELEMENTARY SCHOOL,DEKALB COUNTY,DEKALB COUNTY,2968 CRAVENRIDGE DR NE,ATLANTA,GA,30319,2952,21,Suburb: Large,No,No,NA,527,38.7,13.6,212,7
1.30E+11,292,1302430,664,6,8,ASHWORTH MIDDLE SCHOOL,GORDON COUNTY,GORDON COUNTY,333 NEWTOWN RD NE,CALHOUN,GA,30701,9227,32,Town: Distant,No,Yes,Yes,698,46.2,15.1,462,66
1.31E+11,101,1305390,747,PK,5,ATHA ROAD ELEMENTARY SCHOOL,WALTON COUNTY,WALTON COUNTY,821 H D ATHA RD,MONROE,GA,30655,,21,Suburb: Large,No,Yes,Yes,808,51.3,15.8,455,48
1.30E+11,103,1300090,602,9,12,ATKINSON COUNTY HIGH SCHOOL,ATKINSON COUNTY,ATKINSON COUNTY,145 REBEL LN,PEARSON,GA,31642,248,43,Rural: Remote,No,Yes,Yes,465,26.1,17.8,321,52
1.30E+11,111,1300090,602,6,8,ATKINSON COUNTY MIDDLE SCHOOL,ATKINSON COUNTY,ATKINSON COUNTY,145 REBEL LN,PEARSON,GA,31642,,43,Rural: Remote,No,Yes,Yes,403,24.4,16.5,289,57
1.30E+11,110,1300480,613,4,6,ATKINSON ELEMENTARY SCHOOL,BRANTLEY COUNTY,BRANTLEY COUNTY,4327 HIGHWAY 110 E,WAYNESVILLE,GA,31566,,42,Rural: Distant,No,Yes,Yes,287,21.7,13.2,202,45
1.30E+11,2050,1301500,638,PK,5,ATKINSON ELEMENTARY SCHOOL,COWETA COUNTY,COWETA COUNTY,14 NIMMONS ST,NEWNAN,GA,30263,2610,21,Suburb: Large,No,Yes,Yes,463,32.5,14.2,272,37
1.30E+11,1550,1302520,726,PK,5,ATKINSON ELEMENTARY SCHOOL,SPALDING COUNTY,SPALDING COUNTY,307 ATKINSON DR,GRIFFIN,GA,30223,1927,21,Suburb: Large,No,Yes,Yes,427,28.9,14.8,380,25
1.30E+11,1893,1300225,7991893,PK,12,ATLANTA AREA SCHOOL FOR THE DEAF,STATE SCHOOLS- ATLANTA AREA SCHOOL FOR THE DEAF,DEKALB COUNTY,890 N INDIAN CREEK DR,CLARKSTON,GA,30021,,21,Suburb: Large,No,No,NA,184,57,3.2,111,31
1.30E+11,415,1300120,761,NA,NA,ATLANTA CLASSICAL ACADEMY,ATLANTA PUBLIC SCHOOLS,NA,3260 NORTHSIDE DR NW,ATLANTA,GA,30305,,NA,N,Yes,NA,NA,NA,NA,NA,NA,NA
1.30E+11,410,1300221,7830410,KG,8,ATLANTA HEIGHTS CHARTER SCHOOL,COMMISSION CHARTER SCHOOLS- ATLANTA HEIGHTS CHARTER SCHOOL,FULTON COUNTY,3670 MARTIN LUTHER KING JR DR,ATLANTA,GA,30331,,11,City: Large,Yes,Yes,Yes,690,33,20.9,605,33
1.30E+11,505,1300120,761,KG,5,ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,688 GRANT ST SE,ATLANTA,GA,30315,,11,City: Large,Yes,No,NA,432,29.3,14.7,51,7
1.30E+11,206,1300120,761,6,8,ATLANTA NEIGHBORHOOD CHARTER - MIDDLE,ATLANTA PUBLIC SCHOOLS,FULTON COUNTY,820 ESSIE AVE SE,ATLANTA,GA,30316,,11,City: Large,Yes,Yes,Yes,234,26.5,8.8,57,11
1.30E+11,104,1300026,891,8,10,ATLANTA YOUTH DETENTION CENTER,DEPARTMENT OF JUVENILE JUSTICE,FULTON COUNTY,5651 STONEWALL TELL RD,COLLEGE PARK,GA,30349,,21,Suburb: Large,No,Yes,No,18,n/a,NA,n/a,n/a
1.30E+11,1050,1300290,607,PK,5,AUBURN ELEMENTARY SCHOOL,BARROW COUNTY,BARROW COUNTY,1334 6TH AVE,AUBURN,GA,30011,1029,41,Rural: Fringe,No,Yes,Yes,772,54.5,14.2,453,75
1.30E+11,1498,1300026,891,9,10,AUGUSTA REGIONAL YOUTH DETENTION CENTER,DEPARTMENT OF JUVENILE JUSTICE,RICHMOND COUNTY,3485 MIKE PADGETT HWY,AUGUSTA,GA,30906,,12,City: Midsize,No,Yes,No,8,n/a,NA,n/a,n/a
1.30E+11,298,1300026,891,6,12,AUGUSTA YOUTH DEVELOPMENT CAMPUS,DEPARTMENT OF JUVENILE JUSTICE,RICHMOND COUNTY,3481 MIKE PADGETT HWY,AUGUSTA,GA,30906,,12,City: Midsize,No,Yes,No,31,n/a,NA,n/a,n/a
1.30E+11,207,1301290,633,PK,5,AUSTELL ELEMENTARY SCHOOL,COBB COUNTY,COBB COUNTY,5600 MULBERRY ST,AUSTELL,GA,30106,,21,Suburb: Large,No,Yes,Yes,512,34,15.1,376,33
1.30E+11,175,1301740,644,PK,5,AUSTIN ELEMENTARY SCHOOL,DEKALB COUNTY,DEKALB COUNTY,5435 ROBERTS DR,DUNWOODY,GA,30338,3328,21,Suburb: Large,No,No,NA,632,39.2,16.1,18,4
1.30E+11,294,1302820,675,PK,5,AUSTIN ROAD ELEMENTARY SCHOOL,HENRY COUNTY,HENRY COUNTY,50 AUSTIN RD,STOCKBRIDGE,GA,30281,1249,41,Rural: Fringe,No,Yes,Yes,436,32,13.6,241,34
1.30E+11,397,1302820,675,6,8,AUSTIN ROAD MIDDLE SCHOOL,HENRY COUNTY,HENRY COUNTY,100 AUSTIN RD,STOCKBRIDGE,GA,30281,1247,41,Rural: Fringe,No,No,NA,761,40.2,18.9,406,80
1.30E+11,305,1302280,660,6,8,AUTREY MILL MIDDLE SCHOOL,FULTON COUNTY,FULTON COUNTY,4110 OLD ALABAMA RD,ALPHARETTA,GA,30022,,21,Suburb: Large,No,No,NA,1379,95.2,14.5,108,33
1.30E+11,108,1301110,628,PK,5,AVERY ELEMENTARY SCHOOL,CHEROKEE COUNTY,CHEROKEE COUNTY,6391 E CHEROKEE DR,CANTON,GA,30115,,21,Suburb: Large,No,No,NA,1085,55.5,19.5,196,16
1.30E+11,5050,1301740,644,PK,5,AVONDALE ELEMENTARY SCHOOL,DEKALB COUNTY,DEKALB COUNTY,8 LAKESHORE DR,AVONDALE ESTATES,GA,30002,1472,21,Suburb: Large,No,Yes,Yes,506,37.2,13.6,438,19
1.30E+11,4050,1301290,633,6,8,AWTREY MIDDLE SCHOOL,COBB COUNTY,COBB COUNTY,3601 NOWLIN RD NW,KENNESAW,GA,30144,1032,21,Suburb: Large,No,No,NA,836,51,16.4,245,54
1.30E+11,208,1302520,726,9,12,AZ KELSEY ACADEMY,SPALDING COUNTY,SPALDING COUNTY,200 A Z KELSEY AVE,GRIFFIN,GA,30223,,21,Suburb: Large,No,Yes,Yes,80,7,11.4,53,4
1.30E+11,3050,1301230,631,6,8,BABB MIDDLE SCHOOL,CLAYTON COUNTY,CLAYTON COUNTY,5500 REYNOLDS RD,FOREST PARK,GA,30297,4048,21,Suburb: Large,No,Yes,Yes,831,50.1,16.6,828,0
1.30E+11,3050,1300150,603,3,5,BACON COUNTY ELEMENTARY SCHOOL,BACON COUNTY,BACON COUNTY,523 E 16TH ST,ALMA,GA,31510,3013,33,Town: Remote,No,Yes,Yes,449,26,17.3,277,33
1.30E+11,302,1300150,603,9,12,BACON COUNTY HIGH SCHOOL,BACON COUNTY,BACON COUNTY,1190 US HIGHWAY 1 S,ALMA,GA,31510,,33,Town: Remote,No,No,NA,533,32,16.7,291,36
1.30E+11,202,1300150,603,6,8,BACON COUNTY MIDDLE SCHOOL,BACON COUNTY,BACON COUNTY,1188 US HWY 1S,ALMA,GA,31510,,33,Town: Remote,No,Yes,Yes,468,32.7,14.3,271,42
1.30E+11,102,1300150,603,PK,2,BACON COUNTY PRIMARY SCHOOL,BACON COUNTY,BACON COUNTY,251 CUMBERLAND RD,ALMA,GA,31510,2201,33,Town: Remote,No,Yes,Yes,641,38,16.9,439,32
1.31E+11,494,1305550,751,PK,5,BACON ELEMENTARY SCHOOL,WAYNE COUNTY,WAYNE COUNTY,1425 W ORANGE ST,JESUP,GA,31545,3227,32,Town: Distant,No,Yes,Yes,776,49.2,15.8,535,50
1.30E+11,105,1303690,701,PK,12,BACONTON COMMUNITY CHARTER SCHOOL,MITCHELL COUNTY,MITCHELL COUNTY,260 E WALTON ST,BACONTON,GA,31716,,42,Rural: Distant,Yes,No,NA,766,49.9,15.4,751,0
1.30E+11,3050,1301710,643,9,12,BAINBRIDGE HIGH SCHOOL,DECATUR COUNTY,DECATUR COUNTY,1 BEARCAT BOULEVARD,BAINBRIDGE,GA,39819,,32,Town: Distant,No,Yes,Yes,1499,87.5,17.1,1303,0
1.30E+11,2050,1301710,643,7,8,BAINBRIDGE MIDDLE SCHOOL,DECATUR COUNTY,DECATUR COUNTY,1301 E. COLLEGE STREET,BAINBRIDGE,GA,39819,,32,Town: Distant,No,Yes,Yes,801,48.5,16.5,798,0
1.30E+11,105,1300180,604,KG,12,BAKER COUNTY K12 SCHOOL,BAKER COUNTY,BAKER COUNTY,260 GA HIGHWAY 37 SW,NEWTON,GA,39870,,42,Rural: Distant,No,Yes,Yes,319,25.2,12.7,251,10
