,year,sysID,sysName,schoolID,schoolName,adress,latitude,longitude,grd,ccrpi,titleI,chrtr,cluster
54,2015,609,Ben Hill County,111,Ben Hill Elementary School,"328 Lobinger Ave,Fitzgerald,Ga,31750",31.742397,-83.259461,E,69.8,Yes,No,2
55,2015,609,Ben Hill County,291,Fitzgerald High School,"601 W Cypress St,Fitzgerald,Ga,31750",31.707975,-83.261019,H,67.1,Yes,No,3
56,2015,609,Ben Hill County,296,Ben Hill County Middle School,"134 Jc Hunter Rd,Fitzgerald,Ga,31750",31.766051,-83.256888,M,72.2,Yes,No,3
57,2015,610,Berrien County,101,Berrien High School,"500 E Smith Ave,Nashville,Ga,31639",31.219218,-83.245211,H,79.9,No,No,1
58,2015,610,Berrien County,106,Berrien Academy Performance Learning Center,"P.O. Box 622,Nashville,Ga,31639",31.20742,-83.250155,H,48.0,Yes,Yes,3
59,2015,610,Berrien County,194,Berrien Middle School,"800 Tifton Rd,Nashville,Ga,31639",31.212285,-83.263898,M,78.1,Yes,No,3
60,2015,610,Berrien County,195,Berrien Elementary School,"802 Middle School Circle,Nashville,Ga,31639",31.211627,-83.263079,E,80.8,Yes,No,3
61,2015,611,Bibb County,103,Skyview Elementary School,"5700 Fulton Mill Rd,Lizella,Ga,31052",32.751026,-83.757638,E,75.1,Yes,No,3
62,2015,611,Bibb County,104,Burdell Elementary School,"972 Fort Hill St,Macon,Ga,31217",32.853554,-83.612599,E,70.4,Yes,No,2
63,2015,611,Bibb County,105,Howard High School,"6400 Forsyth Rd,Macon,Ga,31210",32.90127,-83.769678,H,71.3,Yes,No,2
64,2015,611,Bibb County,107,Bloomfield Middle School,"4375 Bloomfield Rd Ext,Macon,Ga,31206",32.796212,-83.688026,M,48.5,Yes,No,2
65,2015,611,Bibb County,108,Ballard Hudson Middle School,"1070 Anthony Rd,Macon,Ga,31204",32.820077,-83.658581,M,47.0,Yes,No,2
66,2015,611,Bibb County,117,Academy For Classical Education,"5665 New Forsyth Rd,Macon,Ga,31210",32.938716,-83.728355,M,84.4,No,Yes,1
67,2015,611,Bibb County,117,Academy For Classical Education,"5665 New Forsyth Rd,Macon,Ga,31210",32.938716,-83.728355,E,74.0,No,Yes,1
68,2015,611,Bibb County,186,Central High School,"2155 Napier Ave,Macon,Ga,31204",32.835962,-83.655741,H,54.9,Yes,No,2
69,2015,611,Bibb County,203,Vineville Academy,"2260 Vineville Ave,Macon,Ga,31204",32.844683,-83.655652,E,73.0,Yes,No,2
70,2015,611,Bibb County,204,Rutland High School,"6250 Skipper Rd,Macon,Ga,31216",32.736142,-83.715852,H,63.6,Yes,No,3
71,2015,611,Bibb County,205,Howard Middle School,"6600 Forsyth Rd,Macon,Ga,31210",32.909697,-83.774477,M,72.1,Yes,No,2
72,2015,611,Bibb County,286,Northeast High School,"1646 Upper River Rd,Macon,Ga,31211",32.866949,-83.619272,H,61.7,Yes,No,2
73,2015,611,Bibb County,298,Miller Magnet Middle School,"751 Hendley St,Macon,Ga,31204",32.839279,-83.658421,M,69.1,Yes,No,2
74,2015,611,Bibb County,303,William S. Hutchings Career Center,"2004 Riverside Dr,Macon,Ga,31204",32.855881,-83.645108,H,72.4,Yes,No,2
75,2015,611,Bibb County,305,Rutland Middle School,"6260 Skipper Rd,Macon,Ga,31216",32.739234,-83.717827,M,66.2,Yes,No,3
76,2015,611,Bibb County,383,Williams Elementary School,"325 Pursley St,Macon,Ga,31201",32.845161,-83.64654,E,57.1,Yes,No,2
77,2015,611,Bibb County,386,Southwest High School,"1730 Canterbury Rd,Macon,Ga,31206",32.809583,-83.674647,H,58.2,Yes,No,2
78,2015,611,Bibb County,405,Rosa Taylor Elementary School,"2976 Crestline Dr,Macon,Ga,31204",32.876284,-83.677957,E,67.6,Yes,No,2
79,2015,611,Bibb County,505,Weaver Middle School,"2570 Heath Rd,Macon,Ga,31206",32.825098,-83.742565,M,53.6,Yes,No,2
80,2015,611,Bibb County,605,Heritage Elementary School,"6050 Thomaston Rd,Macon,Ga,31220",32.845654,-83.755746,E,81.3,Yes,No,2
81,2015,611,Bibb County,705,Union Elementary School,"4831 Mamie Carter Dr,Macon,Ga,31210",32.835596,-83.723615,E,51.2,Yes,No,2
82,2015,611,Bibb County,805,Riley Elementary School,"3522 Greenbriar Rd,Macon,Ga,31204",32.834162,-83.689822,E,57.0,Yes,No,2
83,2015,611,Bibb County,905,Morgan Elementary School,"4901 Faubus Ave,Macon,Ga,31204",32.813616,-83.715033,E,51.6,Yes,No,2
84,2015,611,Bibb County,1005,Brookdale Elementary School,"3600 Brookdale Ave,Macon,Ga,31204",32.851935,-83.685338,E,54.3,Yes,No,2
85,2015,611,Bibb County,1054,Bernd Elementary School,"4160 Ocmulgee East Blvd,Macon,Ga,31217",32.81424,-83.567815,E,45.9,Yes,No,2
86,2015,611,Bibb County,1058,King - Danforth Elementary School,"1301 Shurling Dr,Macon,Ga,31211",32.85966,-83.600502,E,43.4,Yes,No,2
87,2015,611,Bibb County,1067,Porter Elementary School,"5802 School Rd,Macon,Ga,31216",32.737095,-83.692083,E,57.7,Yes,No,3
88,2015,611,Bibb County,1105,Springdale Elementary School,"4965 Northside Dr,Macon,Ga,31210",32.90498,-83.719733,E,84.0,No,No,1
89,2015,611,Bibb County,1205,Carter Elementary School,"5910 Zebulon Rd,Macon,Ga,31210",32.878454,-83.757005,E,66.2,Yes,No,3
90,2015,611,Bibb County,1305,Lane Elementary School,"990 Newport Rd,Macon,Ga,31210",32.891593,-83.694884,E,47.7,Yes,No,2
91,2015,611,Bibb County,2060,Hartley Elementary School,"2230 Anthony Rd,Macon,Ga,31204",32.821319,-83.678934,E,55.9,Yes,No,2
92,2015,611,Bibb County,3060,Heard Elementary School,"6515 Houston Rd,Macon,Ga,31216",32.723259,-83.687396,E,74.7,Yes,No,3
93,2015,611,Bibb County,3062,Jones Elementary School,"2350 Alandale Dr,Macon,Ga,31211",32.865162,-83.596461,E,62.5,Yes,No,2
94,2015,611,Bibb County,3067,Ingram/Pye Elementary School,"1870 Pio Nono Ave,Macon,Ga,31204",32.82501,-83.661495,E,55.5,Yes,No,2
